                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.9871,                 8.2272,                 2.5164,                      0,                      0,                      0,                      0,                 6.1116,                 5.6496,                 2.6105,                      0,                      0,                      0
                      2,                  6.327,                 7.8004,                 2.6494,                      0,                      0,                      0,                      0,                 6.1087,                 5.6301,                 2.6128,             1.9208e-05,             1.9208e-05,             1.9208e-05
                      3,                 5.9954,                 5.8155,                 2.8274,                      0,                      0,                      0,                      0,                 6.0909,                 5.4908,                 2.5817,             3.6832e-05,             3.6832e-05,             3.6832e-05
                      4,                 6.1204,                 6.3534,                 2.5446,                      0,                      0,                      0,                      0,                 6.0852,                  5.429,                 2.5597,             5.2872e-05,             5.2872e-05,             5.2872e-05
                      5,                  6.107,                 6.1521,                 2.9553,                      0,                      0,                      0,                      0,                 6.0649,                 5.2857,                 2.5464,             6.7328e-05,             6.7328e-05,             6.7328e-05
                      6,                 6.0532,                 6.0626,                 2.6368,                      0,                      0,                      0,                      0,                 6.0657,                 5.2225,                 2.5389,               8.02e-05,               8.02e-05,               8.02e-05
                      7,                 5.8195,                 6.5162,                 2.5468,                      0,                      0,                      0,                      0,                 6.0651,                 5.1561,                 2.5342,             9.1488e-05,             9.1488e-05,             9.1488e-05
                      8,                 6.2325,                 7.7157,                  2.665,                      0,                      0,                      0,                      0,                  6.068,                 5.0938,                 2.5231,             0.00010119,             0.00010119,             0.00010119
                      9,                 5.8891,                 6.6519,                  2.641,                      0,                      0,                      0,                      0,                 6.0722,                 5.5935,                 2.5837,             0.00010931,             0.00010931,             0.00010931
                     10,                 6.0345,                 5.3111,                 2.5934,                      0,                      0,                      0,                      0,                 5.9805,                 6.1463,                 2.5013,             0.00011585,             0.00011585,             0.00011585
                     11,                 6.0187,                 4.9424,                 2.0522,                      0,                      0,                      0,                      0,                 5.9606,                 6.5637,                 2.5331,              0.0001208,              0.0001208,              0.0001208
                     12,                 5.7153,                  3.946,                 2.0436,                      0,                      0,                      0,                      0,                 5.8927,                 6.4783,                 2.4397,             0.00012417,             0.00012417,             0.00012417
                     13,                 5.5266,                 3.6745,                 1.7992,                      0,                      0,                      0,                      0,                 5.7832,                 6.3739,                 2.3562,             0.00012595,             0.00012595,             0.00012595
                     14,                  5.271,                 3.2649,                 1.6919,                      0,                      0,                      0,                      0,                 5.6145,                  5.881,                 2.2432,             0.00012615,             0.00012615,             0.00012615
                     15,                 5.1822,                 2.6186,                 1.4284,                      0,                      0,                      0,                      0,                  5.505,                 5.6997,                 2.1319,             0.00012477,             0.00012477,             0.00012477
                     16,                 5.2191,                  2.791,                 1.4855,                      0,                      0,                      0,                      0,                 5.3203,                 5.2054,                 1.9333,              0.0001218,              0.0001218,              0.0001218
                     17,                 4.5816,                 2.5974,                 1.3896,                 0.0076,                 0.0001,                0.00106,                0.00011,                 5.0589,                 4.2485,                 1.7505,             0.00011725,             0.00011725,             0.00011725
                     18,                 4.7337,                 2.3097,                 1.3424,                 0.0076,                 0.0001,                0.00106,                0.00011,                 5.0589,                 4.2485,                 1.7505,             0.00011111,             0.00011111,             0.00011111
                     19,                 4.6146,                 2.3896,                 1.2445,                0.02185,                0.00029,                0.00333,                0.00044,                 4.8682,                 3.5982,                 1.5797,             0.00010339,             0.00010339,             0.00010339
                     20,                 4.5706,                 2.3538,                 1.2813,                0.02185,                0.00029,                0.00333,                0.00044,                 4.8682,                 3.5982,                 1.5797,             9.4088e-05,             9.4088e-05,             9.4088e-05
                     21,                 4.5474,                 2.2422,                 1.1819,                0.00608,                0.00034,                0.00344,                0.00099,                 4.6331,                 3.3013,                 1.4601,               8.32e-05,               8.32e-05,               8.32e-05
                     22,                 4.4077,                 2.1813,                 1.2276,                0.00608,                0.00034,                0.00344,                0.00099,                 4.6331,                 3.3013,                 1.4601,             7.0728e-05,             7.0728e-05,             7.0728e-05
                     23,                 4.8426,                 2.6513,                 1.2138,                0.00916,                0.00054,                0.00531,                0.00176,                 4.4068,                 3.1377,                 1.3707,             5.6672e-05,             5.6672e-05,             5.6672e-05
                     24,                 4.8002,                 2.4123,                 1.1783,                0.00916,                0.00054,                0.00531,                0.00176,                 4.4068,                 3.1377,                 1.3707,             4.1032e-05,             4.1032e-05,             4.1032e-05
                     25,                 4.3746,                 2.1442,                 1.2563,                0.01077,                0.00063,                0.00617,                0.00165,                 4.4313,                  3.101,                 1.3819,             2.3808e-05,             2.3808e-05,             2.3808e-05
