                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0253,                 6.0557,                 1.2254,                0.06294,                 0.0144,                 0.0342,                 0.0122,                 3.2542,                  2.604,                0.90778,             0.00066092,             0.00066092,             0.00066092
                      2,                 2.8002,                 2.0419,                0.81676,                0.12576,                0.03686,                0.07853,                0.03276,                 2.6143,                  1.908,                0.77634,               0.001275,               0.001275,               0.001275
                      3,                 2.3905,                 2.0087,                 0.7838,                0.13493,                0.03971,                0.07993,                0.02939,                 2.9562,                 2.0852,                0.75825,              0.0018363,              0.0018363,              0.0018363
                      4,                 2.1689,                 1.7936,                0.77274,                0.17183,                0.04851,                0.10466,                 0.0477,                 2.4364,                 1.8202,                0.73486,              0.0017624,              0.0017624,              0.0017624
                      5,                 2.0408,                 1.8282,                0.76075,                0.18485,                0.04807,                0.10861,                0.05488,                 2.0836,                 1.7724,                0.73976,              0.0016832,              0.0016832,              0.0016832
                      6,                 1.9458,                 1.7648,                0.75426,                0.21607,                 0.0508,                 0.1264,                0.06513,                 1.9804,                 1.7662,                0.73004,               0.001604,               0.001604,               0.001604
                      7,                 1.8732,                 1.7473,                0.75193,                0.22061,                0.05513,                0.13064,                0.06339,                 2.0524,                 1.8149,                0.72784,              0.0015248,              0.0015248,              0.0015248
                      8,                 1.7422,                 1.6953,                0.75147,                 0.1981,                0.05768,                0.11802,                0.05989,                 1.9784,                 1.7468,                0.71644,              0.0014456,              0.0014456,              0.0014456
                      9,                 1.6782,                 1.6487,                0.74623,                0.20427,                0.05872,                  0.124,                0.06444,                 1.9448,                 1.7123,                0.71229,              0.0013664,              0.0013664,              0.0013664
                     10,                 1.7176,                 1.7003,                 0.7433,                0.28662,                0.05081,                0.15877,                0.08795,                 1.8271,                   1.75,                0.71831,              0.0012872,              0.0012872,              0.0012872
                     11,                 1.6282,                 1.6583,                0.74103,                0.27422,                0.05739,                0.15484,                0.08404,                 1.8494,                 1.7127,                0.70697,               0.001208,               0.001208,               0.001208
                     12,                 1.6036,                  1.633,                0.73524,                0.21619,                  0.058,                0.12901,                0.06846,                 1.9137,                 1.7092,                0.70664,              0.0011288,              0.0011288,              0.0011288
                     13,                 1.5901,                 1.6811,                0.73664,                0.29333,                0.06087,                0.16541,                0.08827,                 1.7929,                 1.6973,                0.70629,              0.0010496,              0.0010496,              0.0010496
                     14,                 1.5482,                 1.7132,                0.73319,                0.31006,                0.05796,                0.17467,                0.09773,                 1.7919,                 1.7971,                0.71011,              0.0009704,              0.0009704,              0.0009704
                     15,                 1.5151,                 1.6816,                0.73604,                0.29972,                0.05892,                 0.1701,                0.09644,                 1.7299,                 1.7206,                0.70558,              0.0008912,              0.0008912,              0.0008912
                     16,                 1.5659,                 2.7081,                0.72702,                0.22104,                0.05836,                0.13193,                 0.0714,                 1.9083,                 1.7912,                0.70687,               0.000812,               0.000812,               0.000812
                     17,                 1.4493,                 3.3006,                0.71806,                 0.3037,                0.06008,                0.16948,                0.09398,                 1.7694,                  1.738,                0.69558,              0.0007328,              0.0007328,              0.0007328
                     18,                 1.4963,                 2.6615,                0.71617,                0.29045,                0.06091,                0.16478,                0.09112,                 1.8002,                 1.7329,                0.70612,              0.0006536,              0.0006536,              0.0006536
                     19,                 1.4289,                 2.8927,                0.72022,                0.32293,                0.06127,                0.17942,                0.10234,                 1.6623,                 1.7169,                0.69597,              0.0005744,              0.0005744,              0.0005744
                     20,                 1.3588,                 3.5952,                0.71005,                0.35788,                0.05835,                0.19542,                0.11708,                 1.6441,                 1.8548,                0.69607,              0.0004952,              0.0004952,              0.0004952
                     21,                 1.3606,                 2.2879,                0.72328,                0.32981,                0.06081,                0.18505,                0.10906,                 1.6257,                 1.7268,                0.69371,               0.000416,               0.000416,               0.000416
                     22,                 1.3034,                 4.1063,                0.71361,                0.37709,                0.05883,                0.20477,                0.12571,                 1.5917,                 1.7795,                0.69599,              0.0003368,              0.0003368,              0.0003368
                     23,                 1.2862,                 2.5779,                0.72296,                0.35472,                 0.0626,                0.19539,                0.11958,                 1.5276,                 1.7258,                0.69093,              0.0002576,              0.0002576,              0.0002576
                     24,                 1.2705,                 2.1501,                0.71518,                0.33429,                0.06531,                0.18625,                0.11203,                 1.5198,                 1.6984,                0.69133,              0.0001784,              0.0001784,              0.0001784
                     25,                 1.1914,                 4.0058,                0.71209,                 0.3809,                0.05928,                  0.207,                0.13054,                 1.5097,                 1.7781,                0.69139,               9.92e-05,               9.92e-05,               9.92e-05
